 ,Label,Area,Mean,Min,Max
250,D66 RB 0.jpg,734,18.2465,-37.4844,63.1011
251,D66 RB 0.jpg,582,12.8116,-48.7741,65.7687
252,D66 RB 0.jpg,408,13.1279,-54.5688,50.0538
253,D66 RB 0.jpg,372,22.7620,-45.7120,61.4348
254,D66 RB 0.jpg,381,14.4784,-21.8140,62.9576
255,D66 RB 0.jpg,385,4.9046,-38.4372,58.0105
256,D66 RB 0.jpg,440,15.9296,-44.9885,60.8175
257,D66 RB 0.jpg,216,22.0004,-34.1664,63.0773
258,D66 RB 0.jpg,389,15.3749,-31.8518,60.1174
259,D66 RB 0.jpg,381,11.5264,-50.5211,65.9914
260,D66 RB 0.jpg,333,18.4090,-36.1440,67.2781
261,D66 RB 0.jpg,16,-2.2177,-48.2282,30.4393
262,D66 RB 0.jpg,280,18.3001,-47.2548,62.8613
263,D66 RB 0.jpg,270,14.9893,-47.9657,57.7726
264,D66 RB 0.jpg,367,20.0361,-48.1317,68.9833
265,D66 RB 0.jpg,355,9.3203,-34.9129,51.5865
266,D66 RB 0.jpg,532,7.5114,-36.3921,61.2672
267,D66 RB 0.jpg,410,20.1227,-20.0840,62.3922
268,D66 RB 0.jpg,546,11.0937,-43.0052,58.6709
269,D66 RB 0.jpg,344,9.1253,-34.5962,56.3622
270,D66 RB 0.jpg,176,15.3425,-44.3013,62.9425
271,D66 RB 0.jpg,382,12.8331,-32.1434,59.3301
272,D66 RB 0.jpg,389,23.6925,-39.7351,69.8092
273,D66 RB 0.jpg,357,19.2959,-35.6308,58.0314
274,D66 RB 0.jpg,560,3.8171,-44.0569,59.0883
275,D66 RB 0.jpg,375,15.6554,-49.8884,51.5758
276,D66 RB 0.jpg,491,13.3464,-33.3863,64.5198
277,D66 RB 0.jpg,163,19.1663,-31.3114,56.9491
278,D66 RB 0.jpg,306,13.9687,-32.6138,60.6702
279,D66 RB 0.jpg,348,14.2177,-36.3439,70.3849
280,D66 RB 0.jpg,237,20.6428,-39.3162,64.6522
281,D66 RB 0.jpg,555,14.7429,-57.9842,72.6672
282,D66 RB 0.jpg,287,26.2982,-21.2584,56.0469
283,D66 RB 0.jpg,409,20.9886,-37.6883,59.6842
284,D66 RB 0.jpg,287,10.2282,-28.1120,56.0471
285,D66 RB 0.jpg,316,17.0725,-26.5060,61.2841
286,D66 RB 0.jpg,437,11.2297,-37.8186,56.8509
287,D66 RB 0.jpg,180,14.0195,-46.4667,57.0644
288,D66 RB 0.jpg,470,7.0288,-33.3136,63.0410
289,D66 RB 0.jpg,290,12.1127,-33.8254,59.2377
290,D66 RB 0.jpg,475,19.4764,-47.0563,60.6109
291,D66 RB 0.jpg,330,11.0968,-31.7784,55.4405
292,D66 RB 0.jpg,431,19.1585,-43.4968,69.6307
293,D66 RB 0.jpg,251,9.0469,-29.8839,59.9491
294,D66 RB 0.jpg,874,9.5118,-54.7880,64.2296
295,D66 RB 0.jpg,681,14.8537,-56.5927,56.3285
296,D66 RB 0.jpg,403,9.8079,-36.1792,57.6316
297,D66 RB 0.jpg,383,16.9676,-23.5620,66.5191
298,D66 RB 0.jpg,590,10.4569,-43.0250,71.6872
299,D66 RB 0.jpg,231,14.7807,-20.6454,47.8425
300,D66 RB 0.jpg,3,26.2473,11.8001,34.9549
301,D66 RB 0.jpg,888,13.9729,-49.4046,83.0592
302,D66 RB 0.jpg,409,8.7193,-30.8280,60.1403
303,D66 RB 0.jpg,316,25.5806,-24.0438,58.3707
304,D66 RB 0.jpg,376,8.8905,-34.3020,60.2890
305,D66 RB 0.jpg,455,16.1488,-59.3262,70.3229
306,D66 RB 0.jpg,499,4.3636,-46.7850,54.1195
307,D66 RB 0.jpg,545,16.2446,-39.2623,66.5201
308,D66 RB 0.jpg,621,13.1451,-41.8856,59.3349
309,D66 RB 0.jpg,507,-0.5915,-54.3275,51.7328
310,D66 RB 0.jpg,374,15.5864,-39.7751,60.0355
311,D66 RB 0.jpg,433,8.7246,-31.5817,57.4024
312,D66 RB 0.jpg,478,13.2957,-34.5850,50.9533
313,D66 RB 0.jpg,720,18.4027,-46.6493,61.2841
314,D66 RB 0.jpg,464,11.9167,-49.5204,57.2384
315,D66 RB 0.jpg,521,17.5036,-39.0301,67.2071
316,D66 RB 0.jpg,6,35.4250,15.1087,47.9956
317,D66 RB 0.jpg,258,23.5544,-32.4666,59.3838
318,D66 RB 0.jpg,351,18.3082,-52.5450,65.3517
319,D66 RB 0.jpg,484,18.5168,-34.3751,70.3500
320,D66 RB 0.jpg,377,17.7550,-56.8598,64.5505
321,D66 RB 0.jpg,341,15.3987,-28.1845,57.1456
322,D66 RB 0.jpg,228,19.3608,-32.8476,56.4628
323,D66 RB 0.jpg,437,8.1759,-37.1309,60.5875
324,D66 RB 0.jpg,510,16.4900,-49.2888,69.4207
325,D66 RB 0.jpg,260,9.3962,-24.7644,48.3029
326,D66 RB 0.jpg,427,8.0074,-35.2032,51.0495
327,D66 RB 0.jpg,425,17.0435,-55.8249,53.6106
328,D66 RB 0.jpg,568,17.6124,-59.7261,64.3500
329,D66 RB 0.jpg,310,17.0879,-23.8049,56.3881
330,D66 RB 0.jpg,308,12.9782,-32.3910,65.7250
331,D66 RB 0.jpg,349,14.2766,-34.5850,65.0131
332,D66 RB 0.jpg,246,16.1862,-16.6139,53.3793
333,D66 RB 0.jpg,450,13.0408,-46.0377,56.0088
334,D66 RB 0.jpg,371,6.2143,-42.2680,60.5059
335,D66 RB 0.jpg,531,17.0734,-51.5549,52.2985
336,D66 RB 0.jpg,219,19.3956,-43.6055,68.2847
337,D66 RB 0.jpg,630,17.8155,-38.7289,75.1956
338,D66 RB 0.jpg,332,19.4949,-26.1919,56.9398
339,D66 RB 0.jpg,738,9.9702,-42.6965,61.3162
340,D66 RB 0.jpg,465,7.1024,-66.7455,54.5085
341,D66 RB 0.jpg,743,20.2647,-41.3390,72.8095
342,D66 RB 0.jpg,275,19.1335,-40.2605,58.9313
343,D66 RB 0.jpg,319,22.5704,-35.9269,61.9899
344,D66 RB 0.jpg,537,18.5654,-36.9723,57.4915
345,D66 RB 0.jpg,14,24.8354,-8.8954,54.4867
346,D66 RB 0.jpg,139,26.8269,-15.6236,61.9997
347,D66 RB 0.jpg,426,10.5113,-44.0542,63.3978
348,D66 RB 0.jpg,386,18.9285,-55.9427,60.4541
349,D66 RB 0.jpg,318,14.9013,-57.5680,48.8561
350,D66 RB 0.jpg,302,5.0261,-35.3416,65.2254
351,D66 RB 0.jpg,19,10.6944,-12.3686,23.6801
352,D66 RB 0.jpg,442,21.4590,-48.7059,61.8961
353,D66 RB 0.jpg,340,24.2075,-14.7260,59.4480
354,D66 RB 0.jpg,360,14.4794,-39.3085,66.1740
355,D66 RB 0.jpg,606,9.2312,-45.6700,64.8972
356,D66 RB 0.jpg,316,16.2388,-45.7883,57.6700
357,D66 RB 0.jpg,377,18.6575,-54.1310,60.6403
358,D66 RB 0.jpg,505,0.3481,-54.9238,45.4883
359,D66 RB 0.jpg,133,-3.1029,-38.0972,33.2373
360,D66 RB 0.jpg,258,21.1341,-37.5856,57.9089
361,D66 RB 0.jpg,717,16.5972,-44.6116,71.5110
362,D66 RB 0.jpg,547,3.3211,-54.1925,51.3296
363,D66 RB 0.jpg,259,15.4397,-29.0780,64.3469
364,D66 RB 0.jpg,307,25.9525,-28.9394,75.5406
365,D66 RB 0.jpg,374,12.0719,-24.0024,56.3732
366,D66 RB 0.jpg,355,15.4469,-28.4634,53.5334
367,D66 RB 0.jpg,316,5.9310,-27.6259,47.7796
368,D66 RB 0.jpg,250,18.6328,-38.5295,63.7914
369,D66 RB 0.jpg,248,18.1451,-48.7665,59.7355
370,D66 RB 0.jpg,121,18.7266,-35.3950,56.9384
371,D66 RB 0.jpg,400,17.6014,-47.5342,58.2121
372,D66 RB 0.jpg,418,18.2859,-51.4462,65.5370
373,D66 RB 0.jpg,321,19.3382,-41.5236,60.2949
374,D66 RB 0.jpg,579,7.5043,-55.5776,78.7047
375,D66 RB 0.jpg,405,9.9935,-27.8977,49.3873
376,D66 RB 0.jpg,459,19.5713,-29.5154,70.2945
377,D66 RB 0.jpg,368,22.0186,-31.6966,55.9264
378,D66 RB 0.jpg,429,10.6200,-26.9567,57.3961
379,D66 RB 0.jpg,376,12.2556,-51.4182,50.9091
380,D66 RB 0.jpg,448,16.8115,-45.5149,59.7965
381,D66 RB 0.jpg,231,8.6505,-44.6590,56.8233
382,D66 RB 0.jpg,353,15.9255,-35.9070,63.2439
383,D66 RB 0.jpg,314,17.8986,-37.3588,63.0370
384,D66 RB 0.jpg,218,12.9201,-25.7013,62.3912
385,D66 RB 0.jpg,550,9.6268,-54.2031,74.8475
386,D66 RB 0.jpg,212,22.8670,-35.9225,73.8191
387,D66 RB 0.jpg,483,0.2769,-39.7662,46.9355
388,D66 RB 0.jpg,516,8.9943,-41.8689,56.9337
389,D66 RB 0.jpg,182,19.4814,-6.1948,42.4948
390,D66 RB 0.jpg,497,17.2306,-41.4602,58.8047
391,D66 RB 0.jpg,484,10.9249,-52.8224,56.4736
392,D66 RB 0.jpg,302,25.0258,-36.4301,67.3901
393,D66 RB 0.jpg,413,12.1320,-47.5016,62.2413
394,D66 RB 0.jpg,300,12.8538,-36.2170,56.2442
395,D66 RB 0.jpg,387,14.6701,-33.2262,61.2274
396,D66 RB 0.jpg,306,12.1406,-36.2601,72.2254
397,D66 RB 0.jpg,269,10.0436,-40.3476,58.5136
398,D66 RB 0.jpg,177,7.2558,-28.2552,40.0876
399,D66 RB 0.jpg,207,1.0320,-58.2423,54.6181
400,D66 RB 0.jpg,517,16.7524,-45.8730,67.3184
401,D66 RB 0.jpg,1061,15.1009,-52.5512,60.7766
402,D66 RB 0.jpg,584,9.8643,-35.9647,77.0757
403,D66 RB 0.jpg,750,15.3143,-51.8757,64.4655
404,D66 RB 0.jpg,693,16.1442,-35.2379,73.5821
405,D66 RB 0.jpg,371,9.2306,-25.5212,50.1306
406,D66 RB 0.jpg,137,23.2405,-23.5886,60.6230
407,D66 RB 0.jpg,407,19.8877,-34.5282,63.4905
408,D66 RB 0.jpg,365,16.1035,-39.4433,53.9228
409,D66 RB 0.jpg,346,19.8124,-37.7902,61.6921
410,D66 RB 0.jpg,242,14.6272,-31.7144,68.7687
411,D66 RB 0.jpg,481,5.9867,-40.3171,49.3027
412,D66 RB 0.jpg,330,19.2771,-57.1178,74.2985
413,D66 RB 0.jpg,342,20.1667,-53.0943,65.3614
414,D66 RB 0.jpg,397,18.0073,-36.5216,50.0869
415,D66 RB 0.jpg,566,13.7573,-35.9584,65.4390
416,D66 RB 0.jpg,288,20.2429,-37.4743,57.9198
417,D66 RB 0.jpg,411,17.0349,-52.2206,68.4847
418,D66 RB 0.jpg,311,9.7165,-37.7968,52.4789
419,D66 RB 0.jpg,1,47.3741,47.3741,47.3741
420,D66 RB 0.jpg,500,13.2146,-46.6264,64.6843
421,D66 RB 0.jpg,117,22.5213,-37.5473,60.7984
422,D66 RB 0.jpg,393,22.8077,-38.6462,69.8244
423,D66 RB 0.jpg,499,13.0838,-38.8426,65.2749
424,D66 RB 0.jpg,365,10.6524,-28.8888,53.2762
