 ,Label,Area,Mean,Min,Max
240,D66 RB 0.jpg,324,7.4514,-27.4933,53.6456
241,D66 RB 0.jpg,313,24.0370,-21.6069,64.3607
242,D66 RB 0.jpg,435,3.2303,-35.4981,46.8655
243,D66 RB 0.jpg,276,26.2210,-34.4694,64.3779
244,D66 RB 0.jpg,324,13.9138,-22.5532,65.1914
245,D66 RB 0.jpg,341,15.3521,-46.0850,66.1872
246,D66 RB 0.jpg,755,17.8894,-37.4844,63.1011
247,D66 RB 0.jpg,596,12.5443,-48.7741,65.7687
248,D66 RB 0.jpg,421,12.6869,-54.5688,50.0538
249,D66 RB 0.jpg,384,22.1105,-45.7120,61.4348
250,D66 RB 0.jpg,390,14.1954,-21.8140,62.9576
251,D66 RB 0.jpg,399,4.7088,-38.4372,58.0105
252,D66 RB 0.jpg,455,15.6181,-44.9885,60.8175
253,D66 RB 0.jpg,229,24.1888,-34.1664,65.5220
254,D66 RB 0.jpg,398,14.9110,-31.8518,60.1174
255,D66 RB 0.jpg,391,11.1656,-50.5211,65.9914
256,D66 RB 0.jpg,345,17.7550,-36.1440,67.2781
257,D66 RB 0.jpg,298,19.0264,-47.2548,62.8613
258,D66 RB 0.jpg,268,15.0447,-47.9657,57.7726
259,D66 RB 0.jpg,371,19.7219,-48.1317,68.9833
260,D66 RB 0.jpg,556,7.1856,-36.3921,61.2672
261,D66 RB 0.jpg,367,8.8735,-34.9129,51.5865
262,D66 RB 0.jpg,417,19.7962,-20.0840,62.3922
263,D66 RB 0.jpg,567,10.7366,-43.0052,58.6709
264,D66 RB 0.jpg,352,8.9138,-34.5962,56.3622
265,D66 RB 0.jpg,175,16.1980,-44.3013,65.4138
266,D66 RB 0.jpg,395,12.3405,-32.1434,59.3301
267,D66 RB 0.jpg,391,23.8824,-37.7569,69.8092
268,D66 RB 0.jpg,362,19.0931,-35.6308,58.0314
269,D66 RB 0.jpg,582,3.7621,-44.0569,59.0883
270,D66 RB 0.jpg,389,15.2002,-49.8884,51.5758
271,D66 RB 0.jpg,504,13.0176,-33.3863,64.5198
272,D66 RB 0.jpg,164,21.2797,-31.3114,60.7350
273,D66 RB 0.jpg,329,13.8403,-32.6138,62.2360
274,D66 RB 0.jpg,350,14.0689,-36.3439,70.3849
275,D66 RB 0.jpg,245,21.6382,-39.3162,66.8904
276,D66 RB 0.jpg,573,14.3335,-57.9842,72.6672
277,D66 RB 0.jpg,299,25.4873,-21.2584,56.0469
278,D66 RB 0.jpg,423,21.9554,-37.6883,63.7853
279,D66 RB 0.jpg,291,10.0617,-28.1120,56.0471
280,D66 RB 0.jpg,323,16.6216,-26.5060,61.2841
281,D66 RB 0.jpg,448,11.0456,-37.8186,56.8509
282,D66 RB 0.jpg,185,15.3600,-46.4667,60.3789
283,D66 RB 0.jpg,492,6.7666,-33.3136,63.0410
284,D66 RB 0.jpg,292,11.9495,-33.8254,59.2377
285,D66 RB 0.jpg,488,19.0299,-47.0563,60.6109
286,D66 RB 0.jpg,334,11.0255,-31.7784,55.4405
287,D66 RB 0.jpg,449,18.3734,-43.4968,69.6307
288,D66 RB 0.jpg,254,9.0030,-29.8839,59.9491
289,D66 RB 0.jpg,901,9.5228,-54.7880,64.2296
290,D66 RB 0.jpg,705,14.4028,-56.5927,56.3285
291,D66 RB 0.jpg,417,9.4206,-36.1792,57.6316
292,D66 RB 0.jpg,382,17.0221,-23.5620,66.5191
293,D66 RB 0.jpg,617,10.8885,-43.0250,71.6872
294,D66 RB 0.jpg,239,15.8501,-20.6454,49.1082
295,D66 RB 0.jpg,905,13.8516,-49.4046,83.0592
296,D66 RB 0.jpg,421,8.4981,-30.8280,60.1403
297,D66 RB 0.jpg,312,26.2571,-24.0438,58.3707
298,D66 RB 0.jpg,386,8.6883,-34.3020,60.2890
299,D66 RB 0.jpg,524,4.3553,-46.7850,54.1195
300,D66 RB 0.jpg,462,15.9983,-59.3262,70.3229
301,D66 RB 0.jpg,559,15.8602,-39.2623,66.5201
302,D66 RB 0.jpg,644,12.9563,-41.8856,59.3349
303,D66 RB 0.jpg,539,0.4711,-54.3275,51.7328
304,D66 RB 0.jpg,379,15.4198,-39.7751,60.0355
305,D66 RB 0.jpg,452,8.4540,-31.5817,57.4024
306,D66 RB 0.jpg,499,12.8660,-34.5850,50.9533
307,D66 RB 0.jpg,733,18.2635,-46.6493,61.2841
308,D66 RB 0.jpg,483,11.4237,-49.5204,57.2384
309,D66 RB 0.jpg,533,17.0232,-39.0301,67.2071
310,D66 RB 0.jpg,267,24.0407,-32.4666,59.3838
311,D66 RB 0.jpg,369,19.5626,-52.5450,65.3517
312,D66 RB 0.jpg,499,18.0517,-34.3751,70.3500
313,D66 RB 0.jpg,385,17.1293,-56.8598,64.5505
314,D66 RB 0.jpg,349,14.9567,-28.1845,57.1456
315,D66 RB 0.jpg,249,20.5700,-32.8476,56.4628
316,D66 RB 0.jpg,446,7.9211,-37.1309,60.5875
317,D66 RB 0.jpg,527,16.0042,-49.2888,69.4207
318,D66 RB 0.jpg,270,10.1561,-24.7644,48.3029
319,D66 RB 0.jpg,440,7.7581,-35.2032,51.0495
320,D66 RB 0.jpg,432,16.8948,-55.8249,53.6106
321,D66 RB 0.jpg,590,17.0579,-59.7261,64.3500
322,D66 RB 0.jpg,313,16.8342,-23.8049,56.3881
323,D66 RB 0.jpg,318,12.5839,-32.3910,65.7250
324,D66 RB 0.jpg,361,14.0104,-34.5850,65.0131
325,D66 RB 0.jpg,262,17.5853,-16.4442,56.3024
326,D66 RB 0.jpg,465,12.6282,-46.0377,56.0088
327,D66 RB 0.jpg,377,6.0737,-42.2680,60.5059
328,D66 RB 0.jpg,544,16.7373,-51.5549,52.2985
329,D66 RB 0.jpg,235,19.7789,-43.6055,68.2847
330,D66 RB 0.jpg,677,19.2991,-38.7289,75.1956
331,D66 RB 0.jpg,343,19.1704,-26.1919,56.9398
332,D66 RB 0.jpg,767,9.8080,-42.6965,61.3162
333,D66 RB 0.jpg,492,6.7042,-66.7455,54.5085
334,D66 RB 0.jpg,768,19.9217,-41.3390,72.8095
335,D66 RB 0.jpg,295,20.2118,-40.2605,58.9313
336,D66 RB 0.jpg,555,18.0107,-36.9723,57.4915
337,D66 RB 0.jpg,316,22.8024,-35.9269,61.9899
338,D66 RB 0.jpg,146,27.9115,-15.6236,62.2038
339,D66 RB 0.jpg,442,10.1881,-44.0542,63.3978
340,D66 RB 0.jpg,391,18.7462,-55.9427,60.4541
341,D66 RB 0.jpg,335,15.1088,-57.5680,51.2981
342,D66 RB 0.jpg,313,4.7450,-35.3416,65.2254
343,D66 RB 0.jpg,9,14.1857,-0.2568,23.6801
344,D66 RB 0.jpg,448,21.1472,-48.7059,61.8961
345,D66 RB 0.jpg,346,23.8015,-14.7260,59.4480
346,D66 RB 0.jpg,368,14.1295,-39.3085,66.1740
347,D66 RB 0.jpg,635,9.2785,-45.6700,64.8972
348,D66 RB 0.jpg,322,15.9575,-45.7883,57.6700
349,D66 RB 0.jpg,387,18.3218,-54.1310,60.6403
350,D66 RB 0.jpg,524,0.3993,-54.9238,45.4883
351,D66 RB 0.jpg,141,-2.5799,-38.0972,33.2373
352,D66 RB 0.jpg,256,21.3169,-37.5856,57.9089
353,D66 RB 0.jpg,750,17.0848,-44.6116,71.5110
354,D66 RB 0.jpg,561,3.2317,-54.1925,51.3296
355,D66 RB 0.jpg,310,26.0650,-28.9394,75.5406
356,D66 RB 0.jpg,262,15.1356,-29.0780,64.3469
357,D66 RB 0.jpg,400,12.8727,-24.0024,56.3732
358,D66 RB 0.jpg,390,16.7635,-28.4634,53.5334
359,D66 RB 0.jpg,323,5.8934,-27.6259,47.7796
360,D66 RB 0.jpg,262,19.7695,-38.5295,63.7914
361,D66 RB 0.jpg,271,18.5120,-48.7665,59.7355
362,D66 RB 0.jpg,425,18.6428,-47.5342,58.2121
363,D66 RB 0.jpg,426,18.2941,-51.4462,65.5370
364,D66 RB 0.jpg,120,20.1456,-35.3950,60.8858
365,D66 RB 0.jpg,601,7.4540,-55.5776,78.7047
366,D66 RB 0.jpg,412,9.7111,-27.8977,49.3873
367,D66 RB 0.jpg,337,19.8199,-41.5236,62.9853
368,D66 RB 0.jpg,473,18.9364,-29.5154,70.2945
369,D66 RB 0.jpg,382,21.3125,-31.6966,55.9264
370,D66 RB 0.jpg,442,10.3178,-26.9567,57.3961
371,D66 RB 0.jpg,383,11.9205,-51.4182,50.9091
372,D66 RB 0.jpg,456,16.3516,-45.5149,59.7965
373,D66 RB 0.jpg,246,9.4884,-44.6590,56.8233
374,D66 RB 0.jpg,354,15.7226,-35.9070,63.2439
375,D66 RB 0.jpg,326,18.6857,-37.3588,63.0370
376,D66 RB 0.jpg,225,12.9325,-25.7013,62.3912
377,D66 RB 0.jpg,566,9.5399,-54.2031,74.8475
378,D66 RB 0.jpg,222,24.7734,-35.9225,73.8191
379,D66 RB 0.jpg,504,0.2436,-39.7662,46.9355
380,D66 RB 0.jpg,526,8.7467,-41.8689,56.9337
381,D66 RB 0.jpg,189,18.9403,-6.1948,42.4948
382,D66 RB 0.jpg,511,16.6248,-41.4602,58.8047
383,D66 RB 0.jpg,491,10.9705,-52.8224,56.4736
384,D66 RB 0.jpg,424,11.6148,-47.5016,62.2413
385,D66 RB 0.jpg,305,24.7087,-36.4301,67.3901
386,D66 RB 0.jpg,319,14.4120,-36.2170,57.4958
387,D66 RB 0.jpg,397,14.2853,-33.2262,61.2274
388,D66 RB 0.jpg,324,13.2289,-36.2601,72.2254
